"subject","body","label"
"claim your free prize now","click the link to verify your account immediately.","1"
"urgent: password reset required","click the link to verify your account immediately.","1"
"urgent: password reset required","we detected an unusual login. please log in to secure your account.","1"
"your account has been suspended!","we detected an unusual login. please log in to secure your account.","1"
"meeting schedule confirmation","please find the attached file with the project update.",""
"unusual login attempt detected","your bank account has been locked. confirm your credentials here.","1"
"invoice for your records","hr has updated the remote work policy. see details attached.",""
"invoice for your records","hr has updated the remote work policy. see details attached.",""
"urgent: password reset required","you've won a prize! claim it before it expires.","1"
"urgent: password reset required","click the link to verify your account immediately.","1"
"project update for q2","attached is the invoice for last month's services.",""
"verify your identity immediately","you've won a prize! claim it before it expires.","1"
"meeting schedule confirmation","attached is the invoice for last month's services.",""
"verify your identity immediately","we detected an unusual login. please log in to secure your account.","1"
"your account has been suspended!","your bank account has been locked. confirm your credentials here.","1"
"verify your identity immediately","click the link to verify your account immediately.","1"
"verify your identity immediately","your bank account has been locked. confirm your credentials here.","1"
"project update for q2","just checking in about our lunch next week.",""
"hr policy update","let's meet on tuesday to discuss the next steps.",""
"lunch plans next week?","let's meet on tuesday to discuss the next steps.",""
"project update for q2","hr has updated the remote work policy. see details attached.",""
"urgent: password reset required","we detected an unusual login. please log in to secure your account.","1"
"verify your identity immediately","click the link to verify your account immediately.","1"
"project update for q2","let's meet on tuesday to discuss the next steps.",""
"meeting schedule confirmation","just checking in about our lunch next week.",""
"urgent: password reset required","click the link to verify your account immediately.","1"
"invoice for your records","hr has updated the remote work policy. see details attached.",""
"project update for q2","hr has updated the remote work policy. see details attached.",""
"project update for q2","attached is the invoice for last month's services.",""
"meeting schedule confirmation","just checking in about our lunch next week.",""
"claim your free prize now","click the link to verify your account immediately.","1"
"project update for q2","please find the attached file with the project update.",""
"claim your free prize now","click the link to verify your account immediately.","1"
"invoice for your records","hr has updated the remote work policy. see details attached.",""
"verify your identity immediately","we detected an unusual login. please log in to secure your account.","1"
"meeting schedule confirmation","please find the attached file with the project update.",""
"urgent: password reset required","your password has expired. reset it using this link.","1"
"verify your identity immediately","you've won a prize! claim it before it expires.","1"
"project update for q2","let's meet on tuesday to discuss the next steps.",""
"hr policy update","let's meet on tuesday to discuss the next steps.",""
"claim your free prize now","we detected an unusual login. please log in to secure your account.","1"
"your account has been suspended!","you've won a prize! claim it before it expires.","1"
"hr policy update","just checking in about our lunch next week.",""
"meeting schedule confirmation","just checking in about our lunch next week.",""
"urgent: password reset required","click the link to verify your account immediately.","1"
"urgent: password reset required","you've won a prize! claim it before it expires.","1"
"lunch plans next week?","just checking in about our lunch next week.",""
"unusual login attempt detected","your password has expired. reset it using this link.","1"
"invoice for your records","just checking in about our lunch next week.",""
"project update for q2","attached is the invoice for last month's services.",""
"hr policy update","hr has updated the remote work policy. see details attached.",""
"lunch plans next week?","hr has updated the remote work policy. see details attached.",""
"lunch plans next week?","let's meet on tuesday to discuss the next steps.",""
"project update for q2","please find the attached file with the project update.",""
"unusual login attempt detected","you've won a prize! claim it before it expires.","1"
"verify your identity immediately","your bank account has been locked. confirm your credentials here.","1"
"urgent: password reset required","your bank account has been locked. confirm your credentials here.","1"
"hr policy update","just checking in about our lunch next week.",""
"verify your identity immediately","your password has expired. reset it using this link.","1"
"hr policy update","hr has updated the remote work policy. see details attached.",""
"claim your free prize now","we detected an unusual login. please log in to secure your account.","1"
"invoice for your records","attached is the invoice for last month's services.",""
"project update for q2","hr has updated the remote work policy. see details attached.",""
"your account has been suspended!","your password has expired. reset it using this link.","1"
"claim your free prize now","click the link to verify your account immediately.","1"
"verify your identity immediately","your bank account has been locked. confirm your credentials here.","1"
"your account has been suspended!","your bank account has been locked. confirm your credentials here.","1"
"verify your identity immediately","your password has expired. reset it using this link.","1"
"your account has been suspended!","your password has expired. reset it using this link.","1"
"project update for q2","let's meet on tuesday to discuss the next steps.",""
"invoice for your records","just checking in about our lunch next week.",""
"urgent: password reset required","you've won a prize! claim it before it expires.","1"
"urgent: password reset required","your bank account has been locked. confirm your credentials here.","1"
"claim your free prize now","we detected an unusual login. please log in to secure your account.","1"
"your account has been suspended!","click the link to verify your account immediately.","1"
"your account has been suspended!","your password has expired. reset it using this link.","1"
"claim your free prize now","your password has expired. reset it using this link.","1"
"meeting schedule confirmation","just checking in about our lunch next week.",""
"meeting schedule confirmation","hr has updated the remote work policy. see details attached.",""
"meeting schedule confirmation","attached is the invoice for last month's services.",""
"unusual login attempt detected","we detected an unusual login. please log in to secure your account.","1"
"hr policy update","attached is the invoice for last month's services.",""
"invoice for your records","just checking in about our lunch next week.",""
"meeting schedule confirmation","let's meet on tuesday to discuss the next steps.",""
"meeting schedule confirmation","please find the attached file with the project update.",""
"unusual login attempt detected","click the link to verify your account immediately.","1"
"lunch plans next week?","just checking in about our lunch next week.",""
"lunch plans next week?","please find the attached file with the project update.",""
"invoice for your records","attached is the invoice for last month's services.",""
"claim your free prize now","click the link to verify your account immediately.","1"
"hr policy update","just checking in about our lunch next week.",""
"verify your identity immediately","you've won a prize! claim it before it expires.","1"
"hr policy update","hr has updated the remote work policy. see details attached.",""
"hr policy update","please find the attached file with the project update.",""
"hr policy update","hr has updated the remote work policy. see details attached.",""
"unusual login attempt detected","we detected an unusual login. please log in to secure your account.","1"
"unusual login attempt detected","click the link to verify your account immediately.","1"
"lunch plans next week?","let's meet on tuesday to discuss the next steps.",""
"claim your free prize now","your password has expired. reset it using this link.","1"
"unusual login attempt detected","we detected an unusual login. please log in to secure your account.","1"
