"subject","body","label"
"(no subject)","dear valued customer, your account has been compromised. click here to reset your password immediately: [fakebank.com/reset]. do not share this link with anyone.","1"
"(no subject)","hello team, please find the attached project timeline for q3. let me know if you have any feedback by eod tomorrow.","0"
"(no subject)","congratulations! you've won a $500 gift card. claim it now at [winprize.net/claim]. hurry, offer expires in 24 hours!","1"
"(no subject)","hi sarah, can you confirm your availability for the client meeting on thursday at 2 pm? i'll send the agenda soon.","0"
"(no subject)","urgent: your paypal account has suspicious activity. secure it now by logging in at [paypal-security.co]. act fast to avoid suspension.","1"
"(no subject)","reminder: your dentist appointment is scheduled for next monday at 10 am. please arrive 15 minutes early.","0"
"(no subject)","your netflix subscription has expired. renew now at [netflix-renewal.org] to avoid losing access to your favorite shows.","1"
"(no subject)","hi john, thanks for the feedback on the proposal. i'll make the changes and share the updated version by tomorrow.","0"
"(no subject)","alert: your credit card has been charged $799 for a purchase you did not authorize. dispute it now at [card-dispute.com].","1"
"(no subject)","dear all, the office will be closed this friday for maintenance. please work from home and reach out with any questions.","0"
"(no subject)","your amazon account has been locked due to unusual activity. verify your identity at [amazon-verify.me] to unlock it.","1"
"(no subject)","hi team, the new employee handbook is now available on the intranet. please review it by next week.","0"
"(no subject)","exclusive offer! get 70% off your next purchase at [shopdealz.biz]. click now, limited stock!","1"
"(no subject)","hi lisa, can you share the sales report for last quarter? i need it for the board meeting on wednesday.","0"
"(no subject)","warning: your apple id has been compromised. reset your password at [appleid-reset.info] to secure your account.","1"
"(no subject)","dear colleagues, please join us for the annual company picnic this saturday at 3 pm. rsvp by thursday.","0"
"(no subject)","you've been selected for a free iphone 14! claim it at [freeiphone.xyz] before it’s gone!","1"
"(no subject)","hi mark, the client approved the designs. can we schedule a call to discuss the next steps?","0"
"(no subject)","your bank account is at risk! verify your details at [securebank.io] to prevent unauthorized access.","1"
"(no subject)","reminder: the team-building workshop is tomorrow at 10 am in conference room b. see you there!","0"
"(no subject)","act now! your walmart order is on hold. confirm your payment at [walmart-order.net] to proceed.","1"
"(no subject)","hi emma, i’ve uploaded the presentation slides to the shared drive. let me know if you need anything else.","0"
"(no subject)","your google account has detected a login from an unknown device. secure it at [google-secure.org].","1"
"(no subject)","dear staff, please complete the mandatory cybersecurity training by the end of this month.","0"
"(no subject)","claim your $1000 cash prize now! visit [cashwin.live] and enter your details to redeem.","1"
"(no subject)","hi tom, can you review the contract draft and send your comments by tomorrow afternoon?","0"
"(no subject)","your subscription to adobe creative cloud has been suspended. reactivate it at [adobe-reactivate.com].","1"
"(no subject)","hi all, the weekly team meeting has been rescheduled to wednesday at 11 am. zoom link to follow.","0"
"(no subject)","urgent: your tax refund is pending. submit your details at [irs-refunded.org] to claim it now.","1"
"(no subject)","hi rachel, thanks for your help with the event planning. can we meet tomorrow to finalize the details?","0"
"(no subject)","your microsoft account needs verification. click [microsoft-verify.biz] to avoid losing access.","1"
"(no subject)","dear employees, please submit your expense reports for this quarter by friday. contact hr with questions.","0"
"(no subject)","win a free vacation! enter your details at [travelwin.co] to claim your all-inclusive trip.","1"
"(no subject)","hi alex, the marketing budget is ready for review. can you take a look and approve by eod?","0"
"(no subject)","your chase account has been flagged for fraud. verify your identity at [chase-secure.net].","1"
"(no subject)","reminder: the company-wide survey closes tomorrow. please take 5 minutes to share your feedback.","0"
"(no subject)","unlock a special discount! shop now at [dealzone.shop] and save big on your next order.","1"
"(no subject)","hi laura, can you send me the updated vendor list? i need it for the procurement meeting.","0"
"(no subject)","your spotify account is at risk. secure it now at [spotify-security.me] to keep streaming.","1"
"(no subject)","hi team, the new software update is live. please test it and report any issues by tomorrow.","0"
"(no subject)","alert: your ebay account has been hacked. reset your password at [ebay-reset.info].","1"
"(no subject)","dear all, please join us for the q4 strategy session next tuesday at 1 pm in the main hall.","0"
"(no subject)","you’re pre-approved for a $5000 loan! apply now at [quickloan.live] to get your funds.","1"
