email_body,label
"Hi Team,

Just a friendly reminder that our Project Alpha sync-up meeting is scheduled for tomorrow, May 8th, at 10:00 AM CEST. Please come prepared to discuss your progress on the latest sprint tasks.

The agenda includes:
1. Review of completed tasks
2. Discussion of roadblocks
3. Planning for next sprint

Meeting link: [Link to internal meeting platform]

See you there,
John
Project Manager",0
"Hi Sarah,

Hope you're having a good week.

I was wondering if you had a chance to look over the Q2 report I sent last Friday? I'd appreciate your feedback when you have a moment.

Best,
Mark",0
"Hello,

Thanks for being a subscriber to 'Tech Today'! Your weekly dose of the latest tech news, reviews, and insights is here.

This week we cover:
* The Future of AI in Healthcare
* New Smartphone Releases
* Cybersecurity Tips for Remote Workers

Click here to read: [Link to newsletter]

Enjoy the read!
The Tech Today Team",0
"Dear Valued Customer,

Thank you for your recent order (#12345XYZ) from ShopOnline! We're excited to get your items to you.

You can track your package here: [Link to legitimate tracking]

We'll notify you once it ships.

Sincerely,
ShopOnline Customer Service",0
"Hi All,

Please be advised that the office will be closed next Monday, May 12th, for a public holiday. We will resume normal business hours on Tuesday, May 13th.

Enjoy the long weekend!

Kind regards,
HR Department",0
"Hi [Customer Name],

We hope you're enjoying your new [Product Name]!

We'd love to hear about your experience. Would you mind taking a quick 2-minute survey? Your feedback helps us improve.

[Link to survey]

Thanks,
The [Company Name] Team",0
"Hi [New User],

Welcome aboard! We're thrilled to have you as part of our community.

To get started, you might want to:
* Complete your profile
* Check out our getting started guide: [Link to guide]
* Join a discussion group

If you have any questions, don't hesitate to reach out.

Best,
The Community Team",0
"Hello,

I've shared a document with you titled 'Q3 Planning'. Please review it at your earliest convenience.

[Link to shared document on a known, legitimate platform]

Thanks,
Colleague Name",0
"Dear [User Name],

Just a friendly heads-up that your subscription to [Service Name] is due to expire in 7 days.

To ensure uninterrupted service, please renew here: [Link to legitimate renewal page]

If you have any questions, our support team is here to help.

Sincerely,
The [Service Name] Team",0
"Hi [Attendee Name],

Thank you for attending our webinar on 'Digital Marketing Trends' yesterday. We hope you found it informative.

A recording of the session and the presentation slides are now available: [Link to resources]

We look forward to seeing you at future events!

Best regards,
The Events Team",0
"Hi [Name],

Wishing you a very happy birthday from all of us at [Company Name/Group Name]! We hope you have a fantastic day.

Best,
The Team",0
"Hi [User Name],

We received a request to reset your password for your [Platform Name] account. If you did not make this request, you can safely ignore this email.

If you do wish to reset your password, please click the link below:
[Link to legitimate password reset page]

This link will expire in 24 hours.

Thanks,
The [Platform Name] Security Team",0
"Hi [User Name],

Someone just commented on your post: '[Post Title]'.

Click here to view the comment: [Link to post on legitimate platform]

Regards,
The [Platform Name] Team",0
"Dear [Client Name],

Please find attached your invoice #INV-2024-05-001 for the recent services provided. The total amount due is [Amount] and is payable by [Due Date].

You can view and pay your invoice online here: [Link to legitimate payment portal]

If you have any questions, please don't hesitate to contact us.

Thank you,
Accounts Department",0
"Dear [Applicant Name],

Thank you for applying for the [Job Title] position at [Company Name]. We have received your application and our hiring team is currently reviewing it.

We appreciate your interest in joining our team. We will be in touch regarding the next steps.

Sincerely,
The [Company Name] Recruitment Team",0
"Dear User,

Please be aware that we will be performing scheduled system maintenance on Saturday, May 10th, from 2:00 AM to 4:00 AM CEST. During this time, access to [System Name] may be temporarily unavailable.

We apologize for any inconvenience this may cause.

Thank you,
IT Support",0
"Hi [Customer Name],

Your monthly account statement for [Account Type] ending April 2025 is now available.

You can view it by logging into your account here: [Link to legitimate login page]

Thank you for banking with us.

Sincerely,
[Bank Name]",0
"Dear [Traveler Name],

Your flight and hotel booking for your trip to [Destination] from [Start Date] to [End Date] is confirmed!

Please review your itinerary details here: [Link to legitimate travel site]

We wish you a pleasant journey!

Best,
TravelWorld Agency",0
"Hi [User Name],

It's been a while since you last visited [Platform Name]. We've added some exciting new features and content we think you'll love!

Come back and check it out: [Link to legitimate platform]

Hope to see you soon,
The [Platform Name] Team",0
"Dear [Customer Name],

We hope your recent interaction with our support team resolved your issue.

To help us improve our service, we'd be grateful if you could take a moment to provide feedback on your experience: [Link to feedback form]

Thank you,
Customer Support Manager",0
"Hi [Your Name],

I'd like to connect with you on LinkedIn.

[Link to legitimate LinkedIn profile]

Best regards,
[Sender Name]
[Sender Title]",0
"Dear [Student Name],

This email confirms your enrollment in the course: '[Course Name]'.

The course will begin on [Start Date]. You can access course materials here: [Link to legitimate learning platform]

We're excited to have you in the class!

Regards,
The Learning Team",0
"Hi User,

A new version of [Software Name] is now available for download. This update includes new features and important security patches.

Please update at your earliest convenience: [Link to legitimate software update page]

Thanks,
The [Software Name] Team",0
"Dear [Donor Name],

On behalf of [Charity Name], thank you so much for your generous donation of [Amount]. Your support makes a real difference in [explain cause].

You can learn more about our work here: [Link to legitimate charity website]

With gratitude,
The [Charity Name] Team",0
"Hi [Friend's Name],

Was just thinking about you and wanted to say hello! Hope everything is going well. Let's try to catch up soon.

Best,
[Your Name]",0
"Dear User,

We detected an unusual sign-in attempt to your account from an unrecognized device in Nigeria. For your security, we have temporarily suspended access.

Please verify your identity and secure your account immediately by clicking here: http://link.totallynotphishingsite.com/verify

Failure to do so within 24 hours will result in permanent account lockout.

Sincerely,
Security Team",1
"Dear Lucky Winner,

You have been selected to receive a $1000 Amazon Gift Card! To claim your prize, simply click the link below and confirm your shipping details.

Claim your prize NOW: http://bit.ly/realprize-notfake

This is a limited-time offer, so act fast!

Congratulations,
Promotions Department",1
"Dear Valued Client,

Your email account (user@example.com) is currently at 95% capacity and will soon be unable to send or receive messages.

To upgrade your storage for FREE and avoid service interruption, please click here and log in: http://webmail-upgrade-portal.com/login

Thank you,
Mail Administrator",1
"Hi,

Please see attached invoice for payment. Let me know if you have any questions.

[Attachment: invoice_scan.pdf.html]

Thanks,
Finance Dept.",1
"Dear Customer,

Our records indicate that your password for Online Banking will expire in less than 48 hours. To maintain uninterrupted access, you must update your password immediately.

Click here to update: http://mybank.security-update-required.net

Ignoring this message may lead to restricted access to your funds.

Regards,
Online Security Services",1
"Dear Taxpayer,

You have a new secure message regarding your recent tax refund. To view your message, please log in to your Government Gateway account using the link below:

Access your message: http://hmrc-gov-uk-secure.com/loginportal

Please do this as soon as possible.

Sincerely,
HM Revenue & Customs",1
"Hello,

Your recent shipment (Tracking ID: UPX987654321) is currently on hold at customs due to unpaid import duties amounting to $5.75.

To release your package for delivery, please pay the outstanding fees here: http://fedex-customs-payment.org/pay

If payment is not received within 3 days, the package will be returned to sender.

Thank you,
Global Express Couriers",1
"Dear Apple User,

We've noticed some suspicious activity on your Apple ID. For your protection, we need you to verify your account details.

Please click here to sign in and confirm your information: http://appleid.confirm-details-now.com

If you do not verify within 24 hours, your Apple ID will be locked.

Thank you,
Apple Support",1
"We detected something unusual about a recent sign-in to the Microsoft account mo*****@outlook.com. For example, you might be signing in from a new location, device, or app.

Sign-in details:
Country/region: Russia
IP address: 103.27.108.115
Date: 07/05/2025

To help keep you safe, we've blocked access to your inbox, contacts list, and calendar for that sign-in. Please review the sign-in activity and secure your account.

Review activity: http://microsoft.accountprotection-secure.com/review

Thanks,
The Microsoft account team",1
"Hi Customer,

We were unable to process your last payment for your Netflix subscription. This may be due to an expired card or insufficient funds.

To avoid cancellation of your membership, please update your payment details now: http://netflix-billing-update.info/myaccount

We want you back!

The Netflix Team",1
"Dear [Bank Name] Customer,

Due to a recent security update, all customers are required to verify their account details. This is mandatory to ensure the safety of your funds.

Please click on the link below to proceed with the verification process:
http://yourbank.update-security-now.com/verify

Failure to comply within 24 hours may result in temporary suspension of your online banking access.

Sincerely,
[Bank Name] Security Department",1
"Hello Crypto Enthusiast,

You've been selected for an exclusive airdrop! Receive 0.5 BTC for FREE by verifying your wallet.

Click here to claim: http://crypto-rewards-official.net/claim

This is a limited-time offer for the first 100 users. Don't miss out!

Best,
Crypto Promotions",1
"Dear Driver,

Our records show an outstanding toll payment for a vehicle registered under your name. Failure to pay will result in additional fines and penalties.

View and pay your invoice here: http://e-zpass-tollservices.com/invoice

Amount Due: $12.50
Due Date: Immediately

Pay now to avoid further action.

Sincerely,
Regional Toll Authority",1
"Dear PayPal User,

We recently noticed unusual activity on your PayPal account. For your security, we have temporarily limited what you can do with your account.

Please log in to your PayPal account and complete the required steps to restore full access:
http://paypal.secure-resolution-center.com/login

Thank you for your cooperation.

PayPal Security",1
"Good Day,

We are impressed with your resume found on an online job board and would like to offer you a position as a Remote Data Entry Clerk with our company. The pay is $35/hour.

No interview required. To accept this position and begin your onboarding, please click here and provide your personal details for payroll setup: http://directhire-now.com/apply

We look forward to welcoming you to the team.

Regards,
HR Manager, Global Solutions Inc.",1
