"subject","body","label"
"(no subject)","subject: password expiration notice: uspsecure  dear user,  we've noticed some suspicious activity linked to your payment method. please re-verify your billing details to prevent an hold on your account: http://service-provider-confirm.org/signin/jaj0m2qd  the wellfargo security team uspsecure support","1"
"(no subject)","subject: confirm your details immediately: appple  dear valued customer,  we've noticed some suspicious activity linked to your payment method. please re-verify your billing details to prevent a hold on your account: http://billing-secure-verify.org/submit/t6xv8sjy act fast, this offer is limited!  customer support appple support","1"
"(no subject)","subject: your order confirmation #56976  hi casey,  i hope this email finds you well. i wanted to share an interesting article i found on new technology: https://legit-service-provider.com/welcome/0f6lk0  all the best, connectsphere team","0"
"(no subject)","subject: project update:  hello taylor,  this week's newsletter is packed with exciting updates, including mobile app improvements and integration options. read more here: https://trusted-news-source.com/article/nbtal8  regards, datastream team  ps: j3dpp whtm 827g rgxwu axtlqnf nc3ye3 9no98js 0xgnbpv 067qqo","0"
"(no subject)","subject: your order confirmation #58358  hi devin,  this is a notification that our services will undergo scheduled maintenance on may 24, 2025 from 4:00 am utc to 9:00 am utc. we apologize for any inconvenience.  sincerely, devin","0"
"(no subject)","subject: welcome to connectsphere!  team,  your monthly e-statement for account ending in 1310 is now available. please log in to your secure portal to view it: https://secure.bankname.com/statements/yjta5u  regards, alex  ps: wtqcgsj ozigi8d xk31 67sr45 875m2d8 9pifod8 wy19 o055v fcjyg s7x","0"
"(no subject)","subject: invoice due: appple  dear valued customer,  important security update for your appple account. please review and confirm your settings: http://billing-secure-verify.org/submit/a4aoh7xo  best, appple support  ps: 9yuipzhx 5onfsjin 24c2v76 1rm2e cdd","1"
"(no subject)","subject: unusual login attempt detected: paypai  hello,  we detected unusual activity on your account from an unrecognized device. please verify your identity immediately by clicking the link below to avoid suspension: http://payment-notification-center.com/details/95a5ezw9  sincerely, paypai support  ps: 71x j46e71 osgu 4lmzo kqv l7l6o3 ixl6 l68z hd3h t99jvy ubo58w l4jh deq99xj ds5xdkes","1"
"(no subject)","subject: your account has been suspended: appple  greetings,  congratulations! you've been selected to receive a $495 gift card. claim your reward now: http://document-share-access.com/login/xfy7rqfu  the paypai security team appple support","1"
"(no subject)","subject: important notification regarding your account: yourbank  dear user,  there is an important document shared with you. please login to view: http://payment-notification-center.com/details/vqmlom7n. your login is your email address.  regards, yourbank support","1"
"(no subject)","subject: password expiration notice: citiibank  greetings,  important security update for your citiibank account. please review and confirm your settings: http://secure-login-portal.com/auth/cgzy6xce  the citiibank security team citiibank support","1"
"(no subject)","subject: important notification regarding your account: amaz0n  dear valued customer,  you have an pending payment of $20. please settle thsi immediately to avoid late fees. view invoice and pay: http://payment-notification-center.com/details/wbhuwj75 act fast, this offer is limited!  the uspsecure security team amaz0n support","1"
"(no subject)","subject: your account has been suspended: googgle  dear valued customer,  our records indicate your account information is outdated. failure to update within 48 hours will result in service disruption. update now: http://payment-notification-center.com/details/ad4x6any act fast, this offer is limited!  sincerely, googgle support","1"
"(no subject)","subject: action required: appple  greetings,  we detected unusual activity on your account from an unrecognized device. please verify your identity immediately by clicking the link below to avoid suspension: http://myservice-alert-resolution.com/act/jh190rv6  the citiibank security team appple support  ref: dll7uqn0bzqy","1"
