"subject","body","label"
"urgent business assistance and partnership","from:mr. james ngola. confidential tel: 233-27-587908. e-mail: (james_ngola2002@maktoob.com).  urgent business assistance and partnership.   dear friend,  i am ( dr.) james ngola, the personal assistance to the late congolese (president laurent kabila) who was assassinated by his body guard on 16th jan. 2001.   the incident occurred in our presence while we were holding meeting with his excellency over the financial returns from the diamond sales in the areas controlled by (d.r.c.) democratic republic of congo forces and their foreign allies angola and zimbabwe, having received the previous day (usd$100m) one hundred million united states dollars, cash in three diplomatic boxes routed through zimbabwe.  my purpose of writing you this letter is to solicit for your assistance as to be a cover to the fund and also collaboration in moving the said fund into your bank account the sum of (usd$25m) twenty five million united states dollars only, which i deposited with a security company in ghana, in a diplomatic box as golds worth (usd$25m) twenty five million united states dollars only for safe keeping in a security vault for any further investment perhaps in your country.   you were introduced to me by a reliable friend of mine who is a traveller,and also a member of chamber of commerce as a reliable and trustworthy person whom i can rely on as foreign partner, even though the nature of the transaction was not revealed to him for security reasons.   the (usd$25m) was part of a proceeds from diamond trade meant for the late president laurent kabila which was delivered through zimbabwe in diplomatic boxes. the boxes were kept under my custody before the sad event that took the life of (mr. president).the confusion that ensued after the assassination and the sporadic shooting among the factions, i have to run away from the country for my dear life as i am not a soldier but a civil servant i crossed river congo to other side of congo libreville from there i moved to the third country ghana where i am presently taking refuge.   as a matter of fact, what i urgently needed from you is your assistance in moving this money into your account in your country for investment without raising eyebrow. for your assistance i will give you 20% of the total sum as your own share when the money gets to your account, while 75% will be for me, of which with your kind advice i hope to invest in profitable venture in your country in other to settle down for meaningful life, as i am tired of living in a war environment.   the remaining 5% will be used to offset any cost incurred in the cause of moving the money to your account. if the proposal is acceptable to you please contact me immediately through the above telephone and e-mail, to enable me arrange face to face meeting with you in ghana for the clearance of the funds before transfring it to your bank account as seeing is believing.   finally, it is important also that i let you understand that there is no risk involved whatsoever as the money had no record in kinshasa for it was meant for the personal use of (mr. presidend ) before the nefarious incident occurred, and also i have all the necessary documents as regards to the funds including the (certificate of deposit), as i am the depositor of the consignment.   looking forward to your urgent response.  your sincerely,  mr. james ngola.","1"
"urgent assistance /relationship (p)","dear friend,  i am mr. ben suleman a custom officer and work as assistant controller of the customs and excise department of the federal ministry of internal affairs stationed at the murtala mohammed international airport, ikeja, lagos-nigeria.  after the sudden death of the former head of state of nigeria general sanni abacha on june 8th 1998 his aides and immediate members of his family were arrested while trying to escape from nigeria in a chartered jet to saudi arabia with 6 trunk boxes marked ""diplomatic baggage"". acting on a tip-off as they attempted to board the air craft,my officials carried out a thorough search on the air craft and discovered that the 6 trunk boxes contained foreign currencies amounting to us$197,570,000.00(one hundred and  ninety-seven million five hundred seventy thousand united states dollars).  i declared only (5) five boxes to the government and withheld one (1) in my custody containing the sum of (us$30,000,000.00) thirty million united states dollars only, which has been disguised to prevent their being discovered during transportation process.due to several media reports on the late head of state about all the money him and his co-government officials stole from our government treasury amounting to us$55 billion dollars (ref:ngrguardiannews.com) of july 2nd 1999. even the london times of july 1998 reported that general abacha has over us$3.billion dollars in one account overseas. we decided to conceal this one (1)box till the situation is calm and quite on the issue. the box was thus deposited with a security company here in nigeria and tagged as ""precious stones and jewellry"" in other that its content will not be discovered. now that all is calm, we (myself and two of my colleagues in the operations team) are now ready to move this box out of the country through a diplomatic arrangement which is the safest means.   however as government officials the civil service code of conduct does not allow us by law to operate any foreign account or own foreign investment and the amount of money that can be found in our account cannot be more than our salary on the average, thus our handicapp and our need for your assistance to help collect and keep safely in your account this money.  therefore we want you to assist us in moving this money out of nigeria. we shall definitely compensate you handsomely for the assistance. we can do this by instructing the security company here in nigeria to move the consignment to their affiliate branch office outside nigeria through diplomatic means and the consignment will be termed as precious stones and jewelleries"" which you bought during your visit to nigeria and is being transfered to your country from here for safe keeping. then we can arrange to meet at the destination country to take the delivery of the consignment. you will thereafter open an account there and lodge the money there and gradually instruct remittance to your country.   this business is 100% risk free for you so please treat this matter with utmost confidentiality .if you indicate your interest to assist us please just e-mail me for more explanation on how we plan to execute the transaction.  expecting your response urgently.  best regards,  mr. ben suleman","1"
"good day to you","from his royal majesty (hrm) crown ruler of eleme kingdom  chief daniel eleme, phd, eze 1 of eleme.e-mail  address:obong_715@epatra.com    attention:president,ceo sir/ madam.   this letter might surprise you because we have met neither in person nor by correspondence. but i believe it is one day that you got to know somebody either in physical or through correspondence.   i got your contact through discreet inquiry from the chambers of commerce and industry of your country on the net, you and your organization were revealed as being quite astute in private entrepreneurship, one has no doubt in your ability to handle a financialbusiness transaction.   however, i am the first son of his royal majesty,obong.d. eleme , and the traditional ruler of eleme province in the oil producing area of river state of nigeria. i am making this contact to you in respect of us$60,000,000.00 (sixty million united state dollars), which i inherited, from my latefather.   this money was accumulated from royalties paid to my father as compensation by the oil firms located in our area as a result of oil presence on our land, which hamper agriculture, which is our major source oflivelihood.   unfortunately my father died from protracted diabetes.but before his death he called my attention and informed me that he lodged some funds on a two boxes with a security firm with an open beneficiary status. the lodgment security code number was also revealed to me, he then advised me to look for a reliable business partner abroad, that will assist me in investing the money in a lucrative business as a result of economic instability in nigeria. so this is the main reason why i am contacting you for us to move this money from the security firm to any country of your choice for investment purpose.   so i will like you to be the ultimate beneficiary, so that the funds can be moved in your name and particulars to any country of your choice where it will be claimed and invested. hence my father have had intimated the security firm personnel that the beneficiary of the box is his foreign partner whose particulars will be forwarded to the firm when due.   but i will guide you accordingly. as soon as the funds reach, i will then come over to meet you in person, so that we can discuss physically on investment potentials. based on this assistance my family and i have unanimously decided to give you 30% of the total money, 5% for charity home, 10% for expenses, which may arise during this transaction, fax and phone bills inclusive. the balance of 55% you will invest andmanaged for my family.   i hereby guarantee you that this is not government money, it is not drug money and it is not money from arms deal. though you have to maintain high degree of confidentiality on this matter. i will give more details about the proceedings of this transaction as soon as i receive your favorable reply.   please reply to my email address:obong_715@epatra.com i hope this will be the beginning of a prosperous relationship between my family and your family.   nevertheless if you are for any reason not interested, kindly inform me immediately so that i will look foranother contact.   i am waiting for your quick response.   yours faithfully,   prince obong abbot","1"
"good day to you","from his royal majesty (hrm) crown ruler of eleme kingdom  chief daniel eleme, phd, eze 1 of eleme.e-mail  address:obong_715@epatra.com    attention:president,ceo sir/ madam.   this letter might surprise you because we have met neither in person nor by correspondence. but i believe it is one day that you got to know somebody either in physical or through correspondence.   i got your contact through discreet inquiry from the chambers of commerce and industry of your country on the net, you and your organization were revealed as being quite astute in private entrepreneurship, one has no doubt in your ability to handle a financialbusiness transaction.   however, i am the first son of his royal majesty,obong.d. eleme , and the traditional ruler of eleme province in the oil producing area of river state of nigeria. i am making this contact to you in respect of us$60,000,000.00 (sixty million united state dollars), which i inherited, from my latefather.   this money was accumulated from royalties paid to my father as compensation by the oil firms located in our area as a result of oil presence on our land, which hamper agriculture, which is our major source oflivelihood.   unfortunately my father died from protracted diabetes.but before his death he called my attention and informed me that he lodged some funds on a two boxes with a security firm with an open beneficiary status. the lodgment security code number was also revealed to me, he then advised me to look for a reliable business partner abroad, that will assist me in investing the money in a lucrative business as a result of economic instability in nigeria. so this is the main reason why i am contacting you for us to move this money from the security firm to any country of your choice for investment purpose.   so i will like you to be the ultimate beneficiary, so that the funds can be moved in your name and particulars to any country of your choice where it will be claimed and invested. hence my father have had intimated the security firm personnel that the beneficiary of the box is his foreign partner whose particulars will be forwarded to the firm when due.   but i will guide you accordingly. as soon as the funds reach, i will then come over to meet you in person, so that we can discuss physically on investment potentials. based on this assistance my family and i have unanimously decided to give you 30% of the total money, 5% for charity home, 10% for expenses, which may arise during this transaction, fax and phone bills inclusive. the balance of 55% you will invest andmanaged for my family.   i hereby guarantee you that this is not government money, it is not drug money and it is not money from arms deal. though you have to maintain high degree of confidentiality on this matter. i will give more details about the proceedings of this transaction as soon as i receive your favorable reply.   please reply to my email address:obong_715@epatra.com i hope this will be the beginning of a prosperous relationship between my family and your family.   nevertheless if you are for any reason not interested, kindly inform me immediately so that i will look foranother contact.   i am waiting for your quick response.   yours faithfully,   prince obong eleme","1"
"i need your assistance.","dear sir,    it is with a heart full of hope that i write to seek your help in respect of the context below. i am mrs. maryam abacha the former first lady of the former military head of state of nigeria general sani abacha whose sudden death occurred on 8th of june 1998 as a result of cardiac arrest (heart attack) while on the seat of power.  i have no doubt about your capability and good-will to assist me in receiving into your custody (for safety) the sum of us$25 million willed and deposited in my favour by my late husband in a security and deposit company. though my contact to you for this assistance is not anchored on any personal ecommendation, i pray your understanding, good will and sincere assistance to respond to this message with honest intensions and concern.  this money is currently deposited here with a security company as miscellaneous awaiting collection and according to the agreement entered into at the time of deposit between my late husband and the security company at the time of deposit; the collection centre is in ghana. as it is legally required, the administration of my late husband's properties is under the authority of the family's lawyer tony musa.    my dear jk, since the demise of my husband, the present regime has been probing my late husband's wealth and properties, the london newsweek of 13th march 2000 referred. the investigating team led by enrico monfrini, the lawyer acting on behalf of the nigerian government has so far submitted their report and presently, some liquid cash and assets, movable and immovable, have been frozen and seized both locally here and internationally and my last hope is rested on the immediate security of this fund in your custody. also, johnnie cochran, the lawyer who defended oj simpson, has been brought in by the abacha entourage to help them retain the disputed funds. fortunately, our family lawyer had secretly protected the ""personal will"" of my husband from the notice of the investigators and have strictly advised that the willed money be urgently moved into an overseas account of trusted foreign family friend without delay. for security reasons and f! urther advise,! no relations or fr!  iends of ours should be used; as this is a measure of security. the government had earlier placed foreign travel embargo on all our family members and seized all known local and international outfits of our business empire.  the situation has been so terrible that we are virtually living on the assistance of well-wishers. in view of this plight, i expect you to be trustworthy and kind enough to respond to this ""sos"" call to save my children and i from a hopeless future.  i hereby agree to compensate your sincere and candid effort, immensely, which will be discussed between you, the attorney and i. on your immediate response, the attorney will travel to ghana where both of you will meet, and thereafter proceed to the deposit company for the claims.  the documentations include, most importantly, power of attorney and certificate of deposit amongst few others. these documents will be sent to you by fax, as you would have to present them for proper claims.  please, be rest assured that this transaction is completely safe and legal but must be kept strictly to yourself even after the funds have been secured into our custody. this is so because any leakage of information could ruin the whole transaction.  please all contacts must be made through my lawyer on his email: tony_m@lawyer.com this has to be so as he has been mandated to handle this matter and i have fully briefed him (my attorney) on my contact to you. due to my present circumstance, i have handed everything over to him to co - ordinate and finalize with you and i will communicate you as at when necessary. please for the safety of this transaction, reply stating your phone and fax numbers to enable them contact you directly without running the risk of mail interception.  i look forward to your quick response.  best wishes,  mrs. maryam abacha","1"
"partnership","attention:                                     president/managing director      dear sir/madam,      request for urgent business relationship      we are top officials of the federal government of  nigeria contract review panel who are interested in  importation of goods into our country and  investing abroad with funds which are presently  trapped in nigeria.  in order to commence this business we solicit your  assistance, knowledge and expertise to enable us  recieve the said trapped  funds abroad, for the  subsequent purchase and inventory of the goods to be  imported and the investment abroad.      the source of this fund is as follows: during the  previous military regimes in our country, government  officials set up companies and awarded themselves  contracts which were grossly over-invoiced in  various ministries. the new civilian government now  setup  a contract review panel which i and my  colleagues are members and we have identified a lot of  inflated sum, due to our position  as civil servants  and members of this panel, we cannot aquire this money  in our names.  i have therefore, been delegated as a matter of trust  by my colleagues of the panel to look for an oversea  partner into whose account the sum of us$31,000 000,00  (thirty-one million united states dollars) will be  paid by telegraphic transfer. hence we are writting  you this letter.   we have agreed to share the money thus:  1.  70% for us (the officials)  2.  20% for the foreign patner(you)  3.  10% to be used in settling taxation and local and  foreign expenses.   it is this 70% that we wish to commence the  importation business and the investment abroad. please  note that this transaction is 100% safe and we hope  that the funds can arrive your account in latest  ten(10) banking days from the date of reciept of the  following information.a suitable company name and bank  account(company or personel) into which the funds can  be paid.      the above information will enable us write letters  of claim and job  description respectively. this way  we will use your company's name to apply for payments  and re-award the contract to your company name.      we are looking foward to doing business with you and  solicit your confidentiality  in this transaction.      please acknowledge reciept of this letter using this  e-mail address.  davidkuta2002@yahoo.com  i await your urgent response.   note: all correspondence should be  confidential.       best regards,  david kuta","1"
"urgent attention","dear sir,  i am barrister tunde dosumu (san) solicitor at law. i am the personal attorney to mr. eton simon, a national of your country, who used to work with shell petroleum development company (spdc)here in nigeria. here in after shall be referred to  me as my client.  on the 21st of april 2000, my client, his wife and  their three children were involved in a car accident along sagbama express road. all occupants of the  vehicle unfortunately lost there lives.  since then i  have made several enquiries to your embassy to locate  any of my clients extended relatives this has also  proved unsuccessful.   after these several unsuccessful attempts, i decided  to track his last name over the internet, to locate  any member of his family hence i contacted you.  i  have contacted you to assist in repatrating the money  and property left behind by my client before they get confisicated or declared unserviceable by the bank  where this huge deposits were lodged, particularly, the citi trust bank where the deceased had an  account valued at about us$14.7million dollars . the bank has issued me a notice to provide the next of kin or have the account confisicated within the next ten official working days.   since i have been unsuccesfull in locating the the relatives for over 2 years now i seek your consent to present you as the next of kin of the deceased since you have the same last name  so that the proceeds of this account valued at us$14.7 million dollars can be paid to you and then you and me can share the money. i have all necessary legal documents that can be used to back up any claim we may make.  all i require is your honest co-operation  to enable us see this dealthrough. i  guarantee that this will be executed under legitimate arrangement that will protect you from any breach of the law.please get in touch with me via my private email address of barrister_tunde@lawyer.com to enable us discuss further. or, call me on 234-80-33-432-485  best regards,   barrister tunde dosumu (san).   __________________________________________________________ outgrown your current e-mail service? get 25mb storage, pop3 access, advanced spam protection with lycos mail plus. http://login.mail.lycos.com/brandpage.shtml?pageid=plus&ref=lmtplus","1"
"urgent business prposal","from: william drallo. confidential tel: 233-24-204567.  i ascetained your contact through a reliable source,in my search for a foreign partner to assist me in my business.  i am william drallo, the son of  late former minister of mines and natural resource during the time of major koromah, the former military head of state of the republic of  sierra leone, who was massacred by president tijani kabba force in their struggle to reinstate him back to power.  i and my brother are refugee here in accra,ghana since the death of our father, because of  the  condition of his death.before the death of my  father some months ago he disclosed to me some money and gold he had deposited in a security company here in ghana.   the total amount of money which happened to be$28.3000.000.oo,us dollars.and gold at 200kg of 22karat all in a security vault in ghana.  the document regarding this consignment was handed over to me by my father before his death, i carefully search and found the security company where i confirmed that the consignment were deposited for safe keeping in their securit vault in ghana.  the content were deposited as a family valuable, by virtue of right as the son of my late father, the security company has accepted to release the consignment factually.  i am seeking your assistance because my father has declared the record with the security company stating that his foreign parrtner shall be the authorised person to make claim on this consignment becaues of his position in government on which no name was given by my father as his foreign partner.  to this effect, i request to make the beneficiary of his consignment in your name as foreign partner to claim this consignment. for your assistance,i am ready to give you 10%from the total sum.  this is a risk free transaction as my father deposited this valuable as a personal belonging. in this situation every process to completely move this  valuable may not exceed (7) working days, if your co-operation to assist is sort.please include your phone and fax number for easy communication i shall be very grateful to hear from you, all documents concerning this are intact with me, please kindly reach me as soon as possible in email address william22drallo@yahoo.com or william2244@maktoob.com  best regards  william drallo","1"
"thank you","challenge securities ltd. lagos, nigeria    attention:madam/sir  i am mr.usman abacha , the director of operations challenge securities ltd,lagos nigeria. here in nigeria our firm is a security company of high repute with years of outstanding service to the people of africa.  i have resolved to contact you through this medium based on business proposal that will be of mutual benefit to both of us. i got your particulars through a consultant company base on my research for a trustworthy and established person that understands investment ethic for entering into a life time profitable joint partnership investment and also co-operation with confidence and trust that you will keep the contents secret and divulged to any third party.  to be explicit and straight to the point. some time early 1997, a reputable client of ours deposited a consignment in our company's vault for safe keeping. and since then our client has failed to come forward to claim his consignment, which has accumulated a considerable amount of money in demurrage.  consequently, in our bide to contact this client to redeem the demurrage which his consignment had accumulated we discovered that our client was the former president of the federal republic of zaire, who died of illness after he was de-throwed in the same year the consignment was entrusted into our care.  since the death of our client president mobutou seseseko, none of his benefactors has come forward to claim the consignment with us, which means that non of his relatives or aids had any knowledge of this consignment. hence out of curiosity i decided to secretly open the two boxes that our client deposited in our vault. and to my surprise i discovered that the two boxes that were registered as treasurer by our client actually contained a considerable amount of money in united states dollars amounting to about us$30 million dollar. since this development i have been nursing plans secretly. i also found out from enquiries and the foreign media that our late client siphoned a lot of money from his country while he was in office as head of state.  it is my conviction that the consignment in our vault was part of the money that our client siphoned and now that he is dead there is no race to this money in our care.  i am now soliciting your noble assistance to assist me in transferring this money out of nigeria to your country for immediate investment with your assistance. i have also decided that you will generously be entitled to 30% of the total amount. upon my receipt of your reply confirming your willingness to assist me of this transaction, i will immediately arrange and transfer all the rights of ownership of this consignment to your name to facilitate your easy clearance and transfer of the complete funds to your country.  you have nothing to worry about, as i will  be there to assist you in anyway necessary with all proper documentation.  this transaction is 100% risk free.  please maintain absolute confidentiality on this matter.   thanks.  yours faithfully.  mr. usman abdul","1"
"urgent assistance","dear sir,  i am barrister tunde dosumu (san) solicitor at law. i am the personal attorney to mr. eton simon, a national of your country, who used to work with shell petroleum development company (spdc)here in nigeria. here in after shall be referred to  me as my client.  on the 21st of april 2000, my client, his wife and  their three children were involved in a car accident along sagbama express road. all occupants of the  vehicle unfortunately lost there lives.  since then i  have made several enquiries to your embassy to locate  any of my clients extended relatives this has also  proved unsuccessful.   after these several unsuccessful attempts, i decided  to track his last name over the internet, to locate  any member of his family hence i contacted you.  i  have contacted you to assist in repatrating the money  and property left behind by my client before they get confisicated or declared unserviceable by the bank  where this huge deposits were lodged, particularly, the citi trust bank where the deceased had an  account valued at about us$14.7million dollars . the bank has issued me a notice to provide the next of kin or have the account confisicated within the next ten official working days.   since i have been unsuccesfull in locating the the relatives for over 2 years now i seek your consent to present you as the next of kin of the deceased since you have the same last name  so that the proceeds of this account valued at us$14.7 million dollars can be paid to you and then you and me can share the money. i have all necessary legal documents that can be used to back up any claim we may make.  all i require is your honest co-operation  to enable us see this dealthrough. i  guarantee that this will be executed under legitimate arrangement that will protect you from any breach of the law.please get in touch with me via my private email address of barrister_tunde@lawyer.com to enable us discuss further. or, call me on 234-80-33-432-485  best regards,   barrister tunde dosumu (san).                     __________________________________________________________ outgrown your current e-mail service? get 25mb storage, pop3 access, advanced spam protection with lycos mail plus. http://login.mail.lycos.com/brandpage.shtml?pageid=plus&ref=lmtplus","1"
