body,label
"Dear valued customer, your account has been compromised. Click here to reset your password immediately: [fakebank.com/reset]. Do not share this link with anyone.",1
"Hello team, please find the attached project timeline for Q3. Let me know if you have any feedback by EOD tomorrow.",0
"Congratulations! You've won a $500 gift card. Claim it now at [winprize.net/claim]. Hurry, offer expires in 24 hours!",1
"Hi Sarah, can you confirm your availability for the client meeting on Thursday at 2 PM? I'll send the agenda soon.",0
"Urgent: Your PayPal account has suspicious activity. Secure it now by logging in at [paypal-security.co]. Act fast to avoid suspension.",1
"Reminder: Your dentist appointment is scheduled for next Monday at 10 AM. Please arrive 15 minutes early.",0
"Your Netflix subscription has expired. Renew now at [netflix-renewal.org] to avoid losing access to your favorite shows.",1
"Hi John, thanks for the feedback on the proposal. I'll make the changes and share the updated version by tomorrow.",0
"Alert: Your credit card has been charged $799 for a purchase you did not authorize. Dispute it now at [card-dispute.com].",1
"Dear all, the office will be closed this Friday for maintenance. Please work from home and reach out with any questions.",0
"Your Amazon account has been locked due to unusual activity. Verify your identity at [amazon-verify.me] to unlock it.",1
"Hi team, the new employee handbook is now available on the intranet. Please review it by next week.",0
"Exclusive offer! Get 70% off your next purchase at [shopdealz.biz]. Click now, limited stock!",1
"Hi Lisa, can you share the sales report for last quarter? I need it for the board meeting on Wednesday.",0
"Warning: Your Apple ID has been compromised. Reset your password at [appleid-reset.info] to secure your account.",1
"Dear colleagues, please join us for the annual company picnic this Saturday at 3 PM. RSVP by Thursday.",0
"You've been selected for a free iPhone 14! Claim it at [freeiphone.xyz] before it’s gone!",1
"Hi Mark, the client approved the designs. Can we schedule a call to discuss the next steps?",0
"Your bank account is at risk! Verify your details at [securebank.io] to prevent unauthorized access.",1
"Reminder: The team-building workshop is tomorrow at 10 AM in Conference Room B. See you there!",0
"Act now! Your Walmart order is on hold. Confirm your payment at [walmart-order.net] to proceed.",1
"Hi Emma, I’ve uploaded the presentation slides to the shared drive. Let me know if you need anything else.",0
"Your Google account has detected a login from an unknown device. Secure it at [google-secure.org].",1
"Dear staff, please complete the mandatory cybersecurity training by the end of this month.",0
"Claim your $1000 cash prize now! Visit [cashwin.live] and enter your details to redeem.",1
"Hi Tom, can you review the contract draft and send your comments by tomorrow afternoon?",0
"Your subscription to Adobe Creative Cloud has been suspended. Reactivate it at [adobe-reactivate.com].",1
"Hi all, the weekly team meeting has been rescheduled to Wednesday at 11 AM. Zoom link to follow.",0
"Urgent: Your tax refund is pending. Submit your details at [irs-refunded.org] to claim it now.",1
"Hi Rachel, thanks for your help with the event planning. Can we meet tomorrow to finalize the details?",0
"Your Microsoft account needs verification. Click [microsoft-verify.biz] to avoid losing access.",1
"Dear employees, please submit your expense reports for this quarter by Friday. Contact HR with questions.",0
"Win a free vacation! Enter your details at [travelwin.co] to claim your all-inclusive trip.",1
"Hi Alex, the marketing budget is ready for review. Can you take a look and approve by EOD?",0
"Your Chase account has been flagged for fraud. Verify your identity at [chase-secure.net].",1
"Reminder: The company-wide survey closes tomorrow. Please take 5 minutes to share your feedback.",0
"Unlock a special discount! Shop now at [dealzone.shop] and save big on your next order.",1
"Hi Laura, can you send me the updated vendor list? I need it for the procurement meeting.",0
"Your Spotify account is at risk. Secure it now at [spotify-security.me] to keep streaming.",1
"Hi team, the new software update is live. Please test it and report any issues by tomorrow.",0
"Alert: Your eBay account has been hacked. Reset your password at [ebay-reset.info].",1
"Dear all, please join us for the Q4 strategy session next Tuesday at 1 PM in the main hall.",0
"You’re pre-approved for a $5000 loan! Apply now at [quickloan.live] to get your funds.",1
"Hi Chris, can you confirm the delivery date for the new equipment? I’ll update the team.",0
"Your Dropbox account is full. Upgrade now at [dropbox-upgrade.co] to get more storage.",1
"Hi everyone, the holiday party is set for December 15th at 6 PM. Save the date!",0
"Critical: Your Visa card has been compromised. Verify your details at [visa-secure.biz].",1
"Hi Sam, the client requested a few changes to the mockups. I’ll send them over shortly.",0
"Your LinkedIn account has been suspended. Reactivate it at [linkedin-restore.org].",1
"Reminder: The fire drill is scheduled for tomorrow at 10 AM. Please follow the evacuation plan.",0
"Congratulations! You’ve earned a $200 Amazon voucher. Redeem it at [amazon-voucher.xyz].",1
"Hi Anna, can you share the meeting notes from last week? I need them for the follow-up.",0
"Your Instagram account is at risk. Secure it at [instagram-secure.me] to avoid deletion.",1
"Dear team, the new project management tool is now live. Training sessions start next week.",0
"Act fast! Your order is pending payment. Confirm it at [shop-confirm.net] to avoid cancellation.",1
"Hi Mike, can we discuss the budget overrun for the campaign? Let’s set a time tomorrow.",0
"Your Uber account needs verification. Click [uber-verify.live] to continue using our services.",1
"Hi all, please update your profiles in the HR system by the end of this week. Thank you!",0
"Claim your free trial of premium software! Sign up at [freetrial.biz] before it expires.",1
"Hi Jenny, the client loved the pitch! Can you prepare the contract for signing?",0
"Your bank statement is ready. Download it now at [bank-statement.co] to review your transactions.",1
"Reminder: The annual performance reviews start next Monday. Please prepare your self-assessments.",0
"Exclusive deal! Get 50% off your next order at [bigsale.shop]. Click now to shop!",1
