"subject","body","label"
"(no subject)","urgent: your netflix account will be suspended in 24h! verify payment now: http://netflix-payments[.]info/user123 | transaction id: nf-112233","1"
"(no subject)","your scheduled zoom meeting with client xyz starts in 15 minutes. join: https://companyname.zoom.us/j/87456321 (passcode: safemeeting456)","0"
"(no subject)","bank of america security alert: unusual $5,000 withdrawal pending. cancel transaction: http://bofa-secure[.]online/alert123 | ref: bofa-445566","1"
"(no subject)","it reminder: mandatory system update tonight at 8 pm. save all work before logging off. contact helpdesk@company.com with concerns.","0"
"(no subject)","fedex delivery failed: update address immediately at http://fedex-track[.]cc/12345abcde | package will be destroyed in 48h","1"
"(no subject)","your document 'project_budget_q4.pdf' has been approved. access on sharepoint: https://company.sharepoint.com/docs/789","0"
"(no subject)","apple id locked: suspicious activity detected in moscow. reset now: http://apple-id-secure[.]net/user@email.com | case id: apl-987654","1"
"(no subject)","team lunch reminder: thursday 12:30 pm at main street grill. dietary restrictions? reply by eod. - office admin","0"
"(no subject)","paypal limited account: verify recent $1,299 purchase at bestbuy. click: http://pp-verification[.]site/ref789 | transaction pp-887766","1"
"(no subject)","new comment on pr #4567 in github repo. review: https://github.com/company/project/pull/4567 (requires 2fa)","0"
"(no subject)","irs final notice: lawsuit pending for unpaid taxes ($8,765.43). dispute within 24h: http://irs-settlement[.]us/ref123 | case id: irs-1122","1"
"(no subject)","your aws bill for october is ready. download invoice: https://console.aws.company.com/billing (vpn required)","0"
"(no subject)","facebook security alert: login from new device in china. confirm identity: http://fb-secure[.]online/alert456 | case id: fb-665544","1"
"(no subject)","reminder: submit timesheets by friday 5 pm. access adp portal: https://company.adp.com (use mfa)","0"
"(no subject)","wells fargo account frozen: verify recent zelle transfers. unlock: http://wells-fargo-secure[.]cc/user123 | ref: wf-334455","1"
"(no subject)","your software license renewal is due next month. review terms: https://company.licensingportal.com (contact procurement@company.com)","0"
"(no subject)","amazon delivery issue: confirm package contents at http://amazon-delivery[.]info/ref987 | failure to respond = account suspension","1"
"(no subject)","q4 all-hands meeting agenda attached. download: https://intranet.company.com/events/1234 (sso required)","0"
"(no subject)","twitter password reset required: unusual activity detected. confirm: http://twitter-verify[.]net/user@email.com | case id: tw-778899","1"
"(no subject)","your pto request for dec 15-20 has been approved. view in workday: https://company.workday.com (requires corporate network)","0"
"(no subject)","ebay account restricted: verify recent $899 purchase. click: http://ebay-confirm[.]site/ref456 | transaction id: eb-112233","1"
"(no subject)","security training completion certificate attached. download from lms: https://lms.company.com/certificates/789","0"
"(no subject)","ups delivery exception: update customs info at http://ups-tracking[.]online/123abc | package held at frankfurt facility","1"
"(no subject)","new jira ticket assigned to you: proj-789 (ui bug fix). details: https://company.atlassian.net/browse/proj-789","0"
"(no subject)","chase bank alert: $3,000 transfer to unknown account. cancel: http://chase-secure[.]info/alert789 | ref: chase-556677","1"
"(no subject)","updated healthcare benefits pdf available: https://hrportal.company.com/benefits/2024 (2fa required)","0"
"(no subject)","microsoft account compromised: reset password immediately at http://ms-account-security[.]com/user@email.com | case id: ms-123456","1"
"(no subject)","code review completed for feature branch 'login-flow'. merge request: https://gitlab.company.com/merge_requests/456","0"
"(no subject)","social security number alert: potential misuse detected. verify identity: http://ssn-protect[.]us/ref654 | case id: ssn-987654","1"
"(no subject)","q3 sales report finalized. access tableau dashboard: https://bi.company.com/sales/q3 (vpn required)","0"
